year,annual_energy_kwh,opex_usd,replacement_usd,discount_factor,discounted_cost_usd,discounted_energy_kwh
1,12105000.0,120000.0,0.0,1.08,111111.11111111111,11208333.333333332
2,12105000.0,120000.0,0.0,1.1664,102880.65843621398,10378086.419753086
3,12105000.0,120000.0,0.0,1.2597120000000002,95259.86892242036,9609339.277549153
4,12105000.0,120000.0,0.0,1.3604889600000003,88203.58233557439,8897536.368101066
5,12105000.0,120000.0,0.0,1.4693280768000005,81669.98364405034,8238459.600093579
6,12105000.0,120000.0,0.0,1.5868743229440005,75620.35522597255,7628203.3334199805
7,12105000.0,120000.0,1250000.0,1.7138242687795209,799381.8415091232,7063151.234648129
8,12105000.0,120000.0,0.0,1.8509302102818825,64832.26614023709,6539954.846896416
9,12105000.0,120000.0,0.0,1.9990046271044333,60029.87605577507,6055513.747126311
10,12105000.0,120000.0,0.0,2.158924997272788,55583.2185701621,5606957.173265101
11,12105000.0,120000.0,0.0,2.331638997054611,51465.94312052046,5191627.012282502
12,12105000.0,120000.0,0.0,2.5181701168189803,47653.65103751895,4807062.048409724
13,12105000.0,120000.0,0.0,2.719623726164499,44123.75096066568,4450983.378157151
14,12105000.0,120000.0,1250000.0,2.937193624257659,466431.62666753074,4121280.9057010654
15,12105000.0,120000.0,0.0,3.172169114198272,37829.00459590679,3816000.8386120973
16,12105000.0,120000.0,0.0,3.425942643334134,35026.8561073211,3533334.109826016
17,12105000.0,120000.0,0.0,3.700018054800865,32432.274173445458,3271605.6572463107
18,12105000.0,120000.0,0.0,3.9960194991849343,30029.88349393098,3029264.4974502875
19,12105000.0,120000.0,0.0,4.315701059119729,27805.44767956572,2804874.534676192
20,12105000.0,120000.0,0.0,4.660957143849308,25745.784888486774,2597106.0506261033
