year,annual_energy_kwh,opex_usd,replacement_usd,discount_factor,discounted_cost_usd,discounted_energy_kwh,scenario
1,12105000.0,120000.0,0.0,1.08,111111.11111111111,11208333.333333332,baseline_unheated
2,12105000.0,120000.0,0.0,1.1664,102880.65843621398,10378086.419753086,baseline_unheated
3,12105000.0,120000.0,0.0,1.2597120000000002,95259.86892242036,9609339.277549153,baseline_unheated
4,12105000.0,120000.0,0.0,1.3604889600000003,88203.58233557439,8897536.368101066,baseline_unheated
5,12105000.0,120000.0,0.0,1.4693280768000005,81669.98364405034,8238459.600093579,baseline_unheated
6,12105000.0,120000.0,0.0,1.5868743229440005,75620.35522597255,7628203.3334199805,baseline_unheated
7,12105000.0,120000.0,1250000.0,1.7138242687795209,799381.8415091232,7063151.234648129,baseline_unheated
8,12105000.0,120000.0,0.0,1.8509302102818825,64832.26614023709,6539954.846896416,baseline_unheated
9,12105000.0,120000.0,0.0,1.9990046271044333,60029.87605577507,6055513.747126311,baseline_unheated
10,12105000.0,120000.0,0.0,2.158924997272788,55583.2185701621,5606957.173265101,baseline_unheated
11,12105000.0,120000.0,0.0,2.331638997054611,51465.94312052046,5191627.012282502,baseline_unheated
12,12105000.0,120000.0,0.0,2.5181701168189803,47653.65103751895,4807062.048409724,baseline_unheated
13,12105000.0,120000.0,0.0,2.719623726164499,44123.75096066568,4450983.378157151,baseline_unheated
14,12105000.0,120000.0,1250000.0,2.937193624257659,466431.62666753074,4121280.9057010654,baseline_unheated
15,12105000.0,120000.0,0.0,3.172169114198272,37829.00459590679,3816000.8386120973,baseline_unheated
16,12105000.0,120000.0,0.0,3.425942643334134,35026.8561073211,3533334.109826016,baseline_unheated
17,12105000.0,120000.0,0.0,3.700018054800865,32432.274173445458,3271605.6572463107,baseline_unheated
18,12105000.0,120000.0,0.0,3.9960194991849343,30029.88349393098,3029264.4974502875,baseline_unheated
19,12105000.0,120000.0,0.0,4.315701059119729,27805.44767956572,2804874.534676192,baseline_unheated
20,12105000.0,120000.0,0.0,4.660957143849308,25745.784888486774,2597106.0506261033,baseline_unheated
1,13824859.999999996,135000.0,0.0,1.08,124999.99999999999,12800796.296296293,optimized_thermal_protection
2,13824859.999999996,135000.0,0.0,1.1664,115740.74074074073,11852589.163237307,optimized_thermal_protection
3,13824859.999999996,135000.0,0.0,1.2597120000000002,107167.3525377229,10974619.595590098,optimized_thermal_protection
4,13824859.999999996,135000.0,0.0,1.3604889600000003,99229.03012752118,10161684.810731571,optimized_thermal_protection
5,13824859.999999996,135000.0,0.0,1.4693280768000005,91878.73159955665,9408967.417344047,optimized_thermal_protection
6,13824859.999999996,135000.0,0.0,1.5868743229440005,85072.89962921912,8712006.867911154,optimized_thermal_protection
7,13824859.999999996,135000.0,0.0,1.7138242687795209,78771.20336038806,8066673.02584366,optimized_thermal_protection
8,13824859.999999996,135000.0,0.0,1.8509302102818825,72936.29940776672,7469141.690595982,optimized_thermal_protection
9,13824859.999999996,135000.0,0.0,1.9990046271044333,67533.61056274695,6915871.935737019,optimized_thermal_protection
10,13824859.999999996,135000.0,0.0,2.158924997272788,62531.120891432365,6403585.125682425,optimized_thermal_protection
11,13824859.999999996,135000.0,0.0,2.331638997054611,57899.18601058552,5929245.486742986,optimized_thermal_protection
12,13824859.999999996,135000.0,0.0,2.5181701168189803,53610.35741720881,5490042.1173546165,optimized_thermal_protection
13,13824859.999999996,135000.0,0.0,2.719623726164499,49639.219830748894,5083372.330883903,optimized_thermal_protection
14,13824859.999999996,135000.0,0.0,2.937193624257659,45962.24058402675,4706826.232299911,optimized_thermal_protection
15,13824859.999999996,135000.0,0.0,3.172169114198272,42557.63017039514,4358172.437314732,optimized_thermal_protection
16,13824859.999999996,135000.0,0.0,3.425942643334134,39405.21312073623,4035344.849365492,optimized_thermal_protection
17,13824859.999999996,135000.0,0.0,3.700018054800865,36486.30844512614,3736430.416079159,optimized_thermal_protection
18,13824859.999999996,135000.0,0.0,3.9960194991849343,33783.61893067235,3459657.7926658876,optimized_thermal_protection
19,13824859.999999996,135000.0,0.0,4.315701059119729,31281.128639511437,3203386.845061007,optimized_thermal_protection
20,13824859.999999996,135000.0,0.0,4.660957143849308,28964.007999547623,2966098.930612043,optimized_thermal_protection
