year,annual_energy_kwh,opex_usd,replacement_usd,discount_factor,discounted_cost_usd,discounted_energy_kwh
1,13824859.999999996,135000.0,0.0,1.08,124999.99999999999,12800796.296296293
2,13824859.999999996,135000.0,0.0,1.1664,115740.74074074073,11852589.163237307
3,13824859.999999996,135000.0,0.0,1.2597120000000002,107167.3525377229,10974619.595590098
4,13824859.999999996,135000.0,0.0,1.3604889600000003,99229.03012752118,10161684.810731571
5,13824859.999999996,135000.0,0.0,1.4693280768000005,91878.73159955665,9408967.417344047
6,13824859.999999996,135000.0,0.0,1.5868743229440005,85072.89962921912,8712006.867911154
7,13824859.999999996,135000.0,0.0,1.7138242687795209,78771.20336038806,8066673.02584366
8,13824859.999999996,135000.0,0.0,1.8509302102818825,72936.29940776672,7469141.690595982
9,13824859.999999996,135000.0,0.0,1.9990046271044333,67533.61056274695,6915871.935737019
10,13824859.999999996,135000.0,0.0,2.158924997272788,62531.120891432365,6403585.125682425
11,13824859.999999996,135000.0,0.0,2.331638997054611,57899.18601058552,5929245.486742986
12,13824859.999999996,135000.0,0.0,2.5181701168189803,53610.35741720881,5490042.1173546165
13,13824859.999999996,135000.0,0.0,2.719623726164499,49639.219830748894,5083372.330883903
14,13824859.999999996,135000.0,0.0,2.937193624257659,45962.24058402675,4706826.232299911
15,13824859.999999996,135000.0,0.0,3.172169114198272,42557.63017039514,4358172.437314732
16,13824859.999999996,135000.0,0.0,3.425942643334134,39405.21312073623,4035344.849365492
17,13824859.999999996,135000.0,0.0,3.700018054800865,36486.30844512614,3736430.416079159
18,13824859.999999996,135000.0,0.0,3.9960194991849343,33783.61893067235,3459657.7926658876
19,13824859.999999996,135000.0,0.0,4.315701059119729,31281.128639511437,3203386.845061007
20,13824859.999999996,135000.0,0.0,4.660957143849308,28964.007999547623,2966098.930612043
